question,answer,class
hi,"Hi, I'm Nova representing Visiblity Bots!ðŸ˜Š",default prompt
do you have any policy for me?,We offer personal auto liability policies for SUVs and other vehicles with more than four or four-wheel-drive. Please contact us for more information about our policies.,General Insurance
hello,"Hi, I'm Nova representing Visiblity Bots!ðŸ˜Š",default prompt
do you have an insurance policy,"Our policy ensures that you have fully-qualified coverage through your vehicle and its contents, while our policies provide for any damages caused by other vehicles. In addition, our property insurance policies provide comprehensive coverage against any risks that impact the safety and integrity of our roads. We strive to provide you with exceptional customer service and high-quality protection while remaining financially independent in the process.",General Insurance
hi,"Hi, I'm Nova representing Visiblity Bots!ðŸ˜Š",default prompt
how are you doing,"I am sorry i am Language model, Ask me anything regarding Insurance or write Question in more generic way!",default prompt
what kind of insurance plociies are available,"While driving, collision and other types of injuries are the main concerns of driving under the age of 30, according to our insurance providers, coverage may extend beyond that age. Contact them for more information or additional information.",Auto Insurance
how do i get insurance,"Contact Visibility Insurance Company to inquire about our policies by completing the Visibility Insurance Company online application and submitting it and submitting it to the state's insurance department. Our agents can assess any necessary coverage requirements for you before offering a personalized quote or paying a premium, or filing a claim.",General Insurance
how can you help,"I am sorry i am Language model, Ask me anything regarding Insurance or write Question in more generic way!",default prompt
hello hello how are you how can you help me,"I am sorry i am Language model, Ask me anything regarding Insurance or write Question in more generic way!",default prompt
okay can you guide me about the insurance policies that you can offer,Our agents are available to help you determine the right policy for you and our team at Visibility Insurance Company can guide you through the application process and ensure proper payment by ensuring that you have adequate coverage to pay in full.,Auto Insurance
okay why should I buy insurance policy from your company,"We do offer a wide variety, including protection against the specific risks that we're aware of. Our policies are designed to meet your goals.",General Insurance
I have a car so I was thinking to have its insurance so can you offer that,"Simply contact us and discuss your needs, our policy offerings, and any other circumstances which may impact your policy. Our agents can assist you with these questions and help evaluate your financial circumstances.",Auto Insurance
hello,"Hi, I'm Nova representing Visiblity Bots!ðŸ˜Š",default prompt
